,High,Low,Open,Close,Volume,Adj Close,Date,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents
0,111.54000091552734,108.7300033569336,110.16999816894531,110.30000305175781,66473000.0,101.92979431152344,2015-09-30,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
1,109.62000274658203,107.30999755859375,109.06999969482422,109.58000183105469,63929100.0,101.2644271850586,2015-10-01,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
2,111.01000213623047,107.55000305175781,108.01000213623047,110.37999725341797,58019800.0,102.00371551513672,2015-10-02,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
3,111.37000274658203,109.06999969482422,109.87999725341797,110.77999877929688,52064700.0,102.37336730957031,2015-10-05,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
4,111.73999786376953,109.7699966430664,110.62999725341797,111.30999755859375,48196800.0,102.8631362915039,2015-10-06,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
5,111.7699966430664,109.41000366210938,111.73999786376953,110.77999877929688,46765600.0,102.37336730957031,2015-10-07,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
6,110.19000244140625,108.20999908447266,110.19000244140625,109.5,61979600.0,101.19049072265625,2015-10-08,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
7,112.27999877929688,109.48999786376953,110.0,112.12000274658203,52766100.0,103.61168670654297,2015-10-09,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
8,112.75,111.44000244140625,112.7300033569336,111.5999984741211,30467200.0,103.13114166259766,2015-10-12,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
9,112.44999694824219,110.68000030517578,110.81999969482422,111.79000091552734,33049300.0,103.30671691894531,2015-10-13,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
